"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Introduction to Deep Survival Analysis Models for Predicting Time-to-Event Outcomes","G. H. Chen",NA,An Introduction to Deep Survival Analysis Models for Predicting Time-to-Event Outcomes,"","2025","","","","","The earliest research into time-to-event outcomes can be dated back to the 17th century. Here the initial focus was predicting time until death, hence the term survival analysis. Applications of time-to-event outcomes are to be found in many walks of life, such as insurance, medicine, and even calculating when will a customer end their subscription. Recently, the machine learning community has made significant methodological advances in survival analysis that take advantage of the representation learning ability of deep neural networks. At this point, there is a proliferation of deep survival analysis models. In this monograph, the author provides a self-contained modern introduction to survival analysis. The focus is on predicting time-to-event outcomes at the individual data point level with the help of neural networks. They provide the reader with a working understanding of precisely what the basic time-to-event prediction problem is, how it differs from standard regression and classification, and how key “design patterns” have been used time after time to derive new time-to-event prediction models. The author also details two extensions of the basic time-to-event prediction setup, namely the competing risks setting and the dynamic setting. The monograph concludes with a discussion of a variety of topics such as fairness, causal reasoning, interpretability, and statistical guarantees. This timely monograph provides researchers and students with a succinct introduction to the use of time-to-event outcomes in modern artificial intelligence driven systems.","","9781638284550","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10829524.pdf&bkn=10829523&pdfType=book","","","","","","","","6 Jan 2025","","","now","Now Foundations and Trends Books"
"All One Needs to Know about Metaverse: A Complete Survey on Technological Singularity, Virtual Ecosystem, and Research Agenda","L. -H. Lee; T. Braud; P. Y. Zhou; L. Wang; D. Xu; Z. Lin; A. Kumar; C. Bermejo; P. Hui",NA; NA; NA; NA; NA; NA; NA; NA; NA,"All One Needs to Know about Metaverse: A Complete Survey on Technological Singularity, Virtual Ecosystem, and Research Agenda","","2024","","","","","Since the popularisation of the Internet in the 1990s, the cyberspace has kept evolving. We have created various computer-mediated virtual environments, including social networks, video conferencing, virtual 3D worlds (e.g., VR Chat), augmented reality applications (e.g., Pokémon Go), and Non-Fungible Token Games (e.g., Upland). Such virtual environments, albeit non-perpetual and unconnected, have brought us various degrees of digital transformation. The term ‘metaverse’ has been coined to facilitate further digital transformation in every aspect of our physical lives. At the core of the metaverse stands the vision of an immersive Internet as a gigantic, unified, persistent, and shared realm. While the metaverse may seem futuristic, catalysed by emerging technologies such as Extended Reality, 5G, and Artificial Intelligence, the digital ‘big bang’ of our cyberspace is not far away. This monograph presents the first effort to offer a comprehensive framework that examines the latest metaverse development under the dimensions of state-of-the-art technologies and metaverse ecosystems, and illustrates the possibility of the digital ‘big bang’. It is essential to highlight that the metaverse encompasses diverse technologies and ecosystems, calling it an interdisciplinary and emerging field. Its primary objective is to provide users with satisfactory and interactive experiences. First, technologies are the enablers that drive the transition from the current Internet to the metaverse. Eight enabling technologies are rigorously examined - Extended Reality, User Interactivity (Human-Computer Interaction), Artificial Intelligence, Blockchain, Computer Vision, IoT and Robotics, Edge and Cloud computing, and Future Mobile Networks. In terms of applications, the metaverse ecosystem allows human users to live and play within a self-sustaining, persistent, and shared realm. Therefore, six user-centric factors are discussed – Avatar, Content Creation, Virtual Economy, Social Acceptability, Security and Privacy, and Trust and Accountability. Finally, a concrete research agenda is examined for developing the metaverse.","","9781638284451","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10747217.pdf&bkn=10747216&pdfType=book","","","","","","","","8 Nov 2024","","","now","Now Foundations and Trends Books"
"Multi-Frequency Nonlinear Methods for 3D Shape Measurement of Semi-Transparent Surfaces Using Projector-Camera Systems","F. B. D. Dizeu; M. Picard; M. -A. Drouin; J. Boisvert","National Research Council Canada, Ottawa, ON, Canada; National Research Council Canada, Ottawa, ON, Canada; National Research Council Canada, Ottawa, ON, Canada; National Research Council Canada, Ottawa, ON, Canada",IEEE Transactions on Visualization and Computer Graphics,"","2024","PP","99","1","13","Measuring the 3D shape of semi-transparent surfaces with projector-camera 3D scanners is a difficult task because these surfaces weakly reflect light in a diffuse manner, and transmit a large part of the incident light. The task is even harder in the presence of participating background surfaces. The two methods proposed in this paper use sinusoidal patterns, each with a frequency chosen in the frequency range allowed by the projection optics of the projector-camera system. They differ in the way in which the camera-projector correspondence map is established, as well as in the number of patterns and the processing time required. The first method utilizes the discrete Fourier transform, performed on the intensity signal measured at a camera pixel, to inventory projector columns illuminating directly and indirectly the scene point imaged by that pixel. The second method goes beyond discrete Fourier transform and achieves the same goal by fitting a proposed analytical model to the measured intensity signal. Once the one (camera pixel) to many (projector columns) correspondence is established, a surface continuity constraint is applied to extract the one to one correspondence map linked to the semi-transparent surface. This map is used to determine the 3D point cloud of the surface by triangulation. Experimental results demonstrate the performance (accuracy, reliability) achieved by the proposed methods.","1941-0506","","10.1109/TVCG.2024.3477413","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10722883","3D shape measurement;3D point cloud;semi-transparent surfaces;structured light;fringe projection;curve fitting;parameter estimation;Discrete Fourier Transform","Three-dimensional displays;Cameras;Shape;Shape measurement;Surface reconstruction;Surface treatment;Lighting;Discrete Fourier transforms;Phase measurement;Distortion measurement","","","","","Crown","18 Oct 2024","","","IEEE","IEEE Early Access Articles"
"Transformers for Natural Language Processing: Build innovative deep neural network architectures for NLP with Python, PyTorch, TensorFlow, BERT, RoBERTa, and more","D. Rothman",NA,"Transformers for Natural Language Processing: Build innovative deep neural network architectures for NLP with Python, PyTorch, TensorFlow, BERT, RoBERTa, and more","","2021","","","","","Publisher's Note: A new edition of this book is out now that includes working with GPT-3 and comparing the results with other models. It includes even more use cases, such as casual language analysis and computer vision tasks, as well as an introduction to OpenAI's Codex.Key FeaturesBuild and implement state-of-the-art language models, such as the original Transformer, BERT, T5, and GPT-2, using concepts that outperform classical deep learning modelsGo through hands-on applications in Python using Google Colaboratory Notebooks with nothing to install on a local machineTest transformer models on advanced use casesBook DescriptionThe transformer architecture has proved to be revolutionary in outperforming the classical RNN and CNN models in use today. With an apply-as-you-learn approach, Transformers for Natural Language Processing investigates in vast detail the deep learning for machine translations, speech-to-text, text-to-speech, language modeling, question answering, and many more NLP domains with transformers. The book takes you through NLP with Python and examines various eminent models and datasets within the transformer architecture created by pioneers such as Google, Facebook, Microsoft, OpenAI, and Hugging Face. The book trains you in three stages. The first stage introduces you to transformer architectures, starting with the original transformer, before moving on to RoBERTa, BERT, and DistilBERT models. You will discover training methods for smaller transformers that can outperform GPT-3 in some cases. In the second stage, you will apply transformers for Natural Language Understanding (NLU) and Natural Language Generation (NLG). Finally, the third stage will help you grasp advanced language understanding techniques such as optimizing social network datasets and fake news identification. By the end of this NLP book, you will understand transformers from a cognitive science perspective and be proficient in applying pretrained transformer models by tech giants to various datasets.What you will learnUse the latest pretrained transformer modelsGrasp the workings of the original Transformer, GPT-2, BERT, T5, and other transformer modelsCreate language understanding Python programs using concepts that outperform classical deep learning modelsUse a variety of NLP platforms, including Hugging Face, Trax, and AllenNLPApply Python, TensorFlow, and Keras programs to sentiment analysis, text summarization, speech recognition, machine translations, and moreMeasure the productivity of key transformers to define their scope, potential, and limits in productionWho this book is forSince the book does not teach basic programming, you must be familiar with neural networks, Python, PyTorch, and TensorFlow in order to learn their implementation with Transformers. Readers who can benefit the most from this book include experienced deep learning & NLP practitioners and data analysts & data scientists who want to process the increasing amounts of language-driven data.","","9781800568631","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163499.pdf&bkn=10163498&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"High-quality indoor scene 3D reconstruction with RGB-D cameras: A brief review","J. Li; W. Gao; Y. Wu; Y. Liu; Y. Shen","School of Sports Engineering, Beijing Sports University, Beijing 100084, China; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, China; University of Chinese Academy of Sciences, Beijing 100049, China; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, China; University of Chinese Academy of Sciences, Beijing 100049, China; Huawei Technologies Co., Ltd., Beijing 100085, China; School of Sports Engineering, Beijing Sports University, Beijing 100084, China",Computational Visual Media,"20 Feb 2025","2022","8","3","369","393","High-quality 3D reconstruction is an important topic in computer graphics and computer vision with many applications, such as robotics and augmented reality. The advent of consumer RGB-D cameras has made a profound advance in indoor scene reconstruction. For the past few years, researchers have spent significant effort to develop algorithms to capture 3D models with RGB-D cameras. As depth images produced by consumer RGB-D cameras are noisy and incomplete when surfaces are shiny, bright, transparent, or far from the camera, obtaining high-quality 3D scene models is still a challenge for existing systems. We here review high-quality 3D indoor scene reconstruction methods using consumer RGB-D cameras. In this paper, we make comparisons and analyses from the following aspects: (i) depth processing methods in 3D reconstruction are reviewed in terms of enhancement and completion, (ii) ICP-based, feature-based, and hybrid methods of camera pose estimation methods are reviewed, and (iii) surface reconstruction methods are reviewed in terms of surface fusion, optimization, and completion. The performance of state-of-the-art methods is also compared and analyzed. This survey will be useful for researchers who want to follow best practices in designing new high-quality 3D reconstruction methods.","2096-0662","","10.1007/s41095-021-0250-8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897532","3D reconstruction;image processing;camera pose estimation;surface fusion","Three-dimensional displays;Cameras;Image reconstruction;Surface reconstruction;Semantics;Reviews;Pose estimation;Surface treatment;Robot vision systems;Solid modeling","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"Enhancing Your Cloud Security with a CNAPP Solution: Unlock the full potential of Microsoft Defender for Cloud to fortify your cloud security","Y. Diogenes",NA,Enhancing Your Cloud Security with a CNAPP Solution: Unlock the full potential of Microsoft Defender for Cloud to fortify your cloud security,"","2024","","","","","Implement the entire CNAPP lifecycle from designing, planning, adopting, deploying, and operationalizing to enhance your organization's overall cloud security posture.Key FeaturesMaster the CNAPP lifecycle from planning to operationalization using real-world practical scenarios.Dive deep into the features of Microsoft's Defender for Cloud to elevate your organization’s security posture.Explore hands-on examples and implementation techniques from a leading expert in the cybersecurity industryBook DescriptionCloud security is a pivotal aspect of modern IT infrastructure, essential for safeguarding critical data and services. This comprehensive book explores Cloud Native Application Protection Platform (CNAPP), guiding you through adopting, deploying, and managing these solutions effectively. Written by Yuri Diogenes, Principal PM at Microsoft, who has been with Defender for Cloud (formerly Azure Security Center) since its inception, this book distills complex concepts into actionable knowledge making it an indispensable resource for Cloud Security professionals. The book begins with a solid foundation detailing the why and how of CNAPP, preparing you for deeper engagement with the subject. As you progress, it delves into practical applications, including using Microsoft Defender for Cloud to enhance your organization's security posture, handle multicloud environments, and integrate governance and continuous improvement practices into your operations. Further, you'll learn how to operationalize your CNAPP framework, emphasizing risk management & attack disruption, leveraging AI to enhance security measures, and integrating Defender for Cloud with Microsoft Security Exposure Management. By the end, you'll be ready to implement and optimize a CNAPP solution in your workplace, ensuring a robust defense against evolving threats.What you will learnImplement Microsoft Defender for Cloud across diverse IT environmentsHarness DevOps security capabilities to tighten cloud operationsLeverage AI tools such as Microsoft Copilot for Security to help remediate security recommendations at scaleIntegrate Microsoft Defender for Cloud with other XDR, SIEM (Microsoft Sentinel) and Microsoft Security Exposure ManagementOptimize your cloud security posture with continuous improvement practicesDevelop effective incident response plans and proactive threat hunting techniquesWho this book is forThis book is aimed at Cloud Security Professionals that work with Cloud Security, Posture Management, or Workload Protection. DevOps Engineers that need to have a better understanding of Cloud Security Tools and SOC Analysts that need to understand how CNAPP can enhance their threat hunting capabilities can also benefit from this book. Basic knowledge of Cloud Computing, including Cloud Providers such as Azure, AWS, and GCP is assumed.","","9781836204862","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769271.pdf&bkn=10769270&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
"Machine Learning for Spectrum Sharing: A Survey","F. R. V. Guimarães; J. M. B. da Silva; C. Casimiro Cavalcante; G. Fodor; M. Bengtsson; C. Fischione",NA; NA; NA; NA; NA; NA,Machine Learning for Spectrum Sharing: A Survey,"","2024","","","","","The 5th generation (5G) of wireless systems is being deployed with the aim to provide many sets of wireless communication services, such as low data rates for a massive amount of devices, broadband, low latency, and industrial wireless access. Such an aim is even more complex in the next generation wireless systems (6G) where wireless connectivity is expected to serve any connected intelligent unit, such as software robots and humans interacting in the metaverse, autonomous vehicles, drones, trains, or smart sensors monitoring cities, buildings, and the environment. As the wireless devices will be orders of magnitude denser than in 5G cellular systems, and due to the complex quality of service requirements, the access to the wireless spectrum will have to be appropriately shared to avoid congestion, poor quality of service, or unsatisfactory communication delays. Spectrum sharing methods have been the objective of intense study through model-based approaches, such as optimization or game theories. However, these methods may fail when facing the complexity of the communication environments in 5G, 6G, and beyond. Recently, there has been significant interest in the application and development of data-driven methods, namely machine learning methods, to handle the complex operation of spectrum sharing. In this monograph, a complete overview of the state-of-the-art of machine learning for spectrum sharing is provided. First, the authors map the most prominent methods that are encountered in spectrum sharing. Then, it is shown how these machine learning methods are applied to the numerous dimensions and sub-problems of spectrum sharing, such as spectrum sensing, spectrum allocation, spectrum access, and spectrum handoff. Finally, several open questions and future trends are highlighted.","","9781638284314","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10747219.pdf&bkn=10747218&pdfType=book","Spectrum sharing","","","","","","","8 Nov 2024","","","now","Now Foundations and Trends Books"
"Chaos and Dynamical Systems","D. Feldman",NA,Chaos and Dynamical Systems,"","2019","","","","","Chaos and Dynamical Systems presents an accessible, clear introduction to dynamical systems and chaos theory, important and exciting areas that have shaped many scientific fields. While the rules governing dynamical systems are well-specified and simple, the behavior of many dynamical systems is remarkably complex. Of particular note, simple deterministic dynamical systems produce output that appears random and for which long-term prediction is impossible. Using little math beyond basic algebra, David Feldman gives readers a grounded, concrete, and concise overview.In initial chapters, Feldman introduces iterated functions and differential equations. He then surveys the key concepts and results to emerge from dynamical systems: chaos and the butterfly effect, deterministic randomness, bifurcations, universality, phase space, and strange attractors. Throughout, Feldman examines possible scientific implications of these phenomena for the study of complex systems, highlighting the relationships between simplicity and complexity, order and disorder.Filling the gap between popular accounts of dynamical systems and chaos and textbooks aimed at physicists and mathematicians, Chaos and Dynamical Systems will be highly useful not only to students at the undergraduate and advanced levels, but also to researchers in the natural, social, and biological sciences.","","9780691189390","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9453370.pdf&bkn=9453369&pdfType=book","","","","","","","","13 Jul 2021","","","Princeton University Press","Princeton University Press eBooks"
"Automating API Delivery: APIOps with OpenAPI","I. Nwaiwu",Manning Publications,Automating API Delivery: APIOps with OpenAPI,"","2024","","","","","Improve speed, quality, AND cost by automating your API delivery process! Automating API Delivery shows you how to strike the perfect balance between speed and usability by applying DevOps automation principles to your API design and delivery process. It lays out a clear path to making both the organizational and technical changes you need to deliver high-quality APIs both rapidly and reliably. In Automating API Delivery you’ll learn how to:  Enforce API design standards with linting Automate breaking-change checks to control design creep Ensure accuracy of API reference documents Centralize API definition consistency checks Automate API configuration deployment Conduct effective API design reviews  Author Ikenna Nwaiwu provides comprehensive guidance on implementing APIOps in your organization. He carefully walks through the technical steps and introduces the essential open-source tools, with practical advice and insights from his years of experience. You’ll benefit from his personal tips for avoiding common pitfalls and challenges of moving to automated API delivery.","","9781633438781","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10745365.pdf&bkn=10745364&pdfType=book","APIOps;CI/CD;RESTful;design reviews;design creep;breaking-change checks;linting;conformance;fast;Schemathesis;Portman;secure;consistent;easy","","","","","","","6 Nov 2024","","","Manning","Manning eBooks"
"Designing for Digital Transformation in a Society of Smartness: Conceptual Cornerstones, Design Implications, and a Road Ahead","S. Hanke; L. Wessel",NA; NA,"Designing for Digital Transformation in a Society of Smartness: Conceptual Cornerstones, Design Implications, and a Road Ahead","","2024","","","","","Information system (IS) researchers play a pivotal role as change agents, driving positive societal transformation and addressing ""grand challenges."" Designing for Digital Transformation in a Society of Smartness explores and expands the literature on digital transformation (DT), focusing on how IS research can conceptualize and tackle the design of IS artifacts in response to these complex challenges. The authors conceptualize DT as transformations of smart service systems (SSSs) due to the widespread use of smart technologies by individuals. The monograph further develops this literature toward a more sociological understanding of the practices within which individuals interact with smart technologies in their everyday lives. Based on these cornerstones, the authors provide specific suggestions for IS design of DT at a societal scale and contribute to research about DT, SSS, and IS design, respectively.","","9781638284710","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10763406.pdf&bkn=10763405&pdfType=book","","","","","","","","22 Nov 2024","","","now","Now Foundations and Trends Books"
"Theoretical Foundations of Adversarial Binary Detection","M. Barni; B. Tondi",NA; NA,Theoretical Foundations of Adversarial Binary Detection,"","2021","","","","","Binary detection is a ubiquitous problem in virtually all branches of science and technology. In many cases, binary detection must be carried out in a setting wherein the presence of an adversary aiming at inducing a wrong decision cannot be ruled out. Applications include network monitoring, spam filtering, multimedia forensics, video surveillance and biometric authentication to name but a few. In these cases, the attack is carried out at the time of testing. With the advent of widespread machine learning tools, the attacker can act during the learning phase, making it harder to detect. The main idea behind adversarial detection theory is to cast the detection problem into a game-theoretic framework. This allows the goals and the actions available to the two contenders to be rigorously defined. In this monograph, the authors address several variants of a general adversarial binary detection problem, depending on the knowledge available to the Defender and the Attacker of the statistical characterization of a system. They lead the reader through the considerations and solutions under two hypotheses, using a framework that can be adopted in many applications. This monograph, aimed at students, researchers and practitioners working in the application areas who want an accessible introduction to the theory behind Adversarial Binary Detection and the possible solutions to their particular problem.","","9781680837650","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9301467.pdf&bkn=9301466&pdfType=book","","","","","","","","22 Dec 2020","","","now","Now Foundations and Trends Books"
"Salesforce CRM Administration Handbook: A comprehensive guide to administering, configuring, and customizing Salesforce CRM","K. Nowacki; M. Twarożek",NA; NA,"Salesforce CRM Administration Handbook: A comprehensive guide to administering, configuring, and customizing Salesforce CRM","","2024","","","","","Master the core concepts of Salesforce administration and gain a holistic understanding of the SF ecosystem that will also help you prepare for the Salesforce certification examKey FeaturesUnderstand Salesforce architecture and security modelIntegrate Flow Builder with other Salesforce components for seamless automationUnderstand how to create and manage approval workflows in SalesforcePurchase of the print or Kindle book includes a free PDF eBookBook DescriptionDo you aspire to be a successful Salesforce administrator or consultant? If yes, then this step-by-step guide is for you. Written by certified Salesforce professionals, the Salesforce CRM Administration Handbook will take you through the intricacies of Salesforce, covering objects, records, automation, and much more. Starting with an overview of the capabilities and limitations of Salesforce, you’ll progress toward a holistic understanding of system architecture with real-world examples, including workarounds that enable the successful completion of projects. As you delve deeper, you’ll learn about the fundamental concepts of a CRM system, its purpose, and the pivotal role of an administrator in the Salesforce lifecycle. You’ll also explore the basic structures of the entire Salesforce system and navigate confidently through the intricacies of security, automation, and reporting in the Sales/Service Cloud. By the end of this book, you’ll have the confidence you need to navigate Salesforce’s backend seamlessly, implement configuration changes effortlessly, and communicate fluently in Salesforce terminology.What you will learnDiscover strategies to stay up-to-date with Salesforce releasesIntegrate Salesforce products seamlessly to meet diverse business needsExplore Sales and Service Cloud and its transformative impact on sales and customer support operationsMaster opportunity management for successful deal closures and pipeline forecastingUnderstand Salesforce Orgs, managing users, settings, and customizationExplore data import and export methods and data mappingDiscover best practices, mock tests, and valuable tips and tricks to prepare for Salesforce certificationWho this book is forThis book is for aspiring Salesforce administrators and consultants looking to build a solid foundation in Salesforce products, system setup, and customization as well as advance their careers within the Salesforce ecosystem. It’s also a great resource for those preparing to take the Salesforce ADM 201 certification exam, as it serves as an excellent supplement to the existing learning materials.","","9781835081860","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10522569.pdf&bkn=10522568&pdfType=book","","","","","","","","8 May 2024","","","Packt Publishing","Packt Publishing eBooks"
"An Introduction to Neural Information Retrieval","B. Mitra; N. Craswell",NA; NA,An Introduction to Neural Information Retrieval,"","2018","","","","","Neural models have been employed in many Information Retrieval scenarios, including ad-hoc retrieval, recommender systems, multi-media search, and even conversational systems that generate answers in response to natural language questions. An Introduction to Neural Information Retrieval provides a tutorial introduction to neural methods for ranking documents in response to a query, an important IR task. The monograph provides a complete picture of neural information retrieval techniques that culminate in supervised neural learning to rank models including deep neural network architectures that are trained end-to-end for ranking tasks. In reaching this point, the authors cover all the important topics, including the learning to rank framework and an overview of deep neural networks. This monograph provides an accessible, yet comprehensive, overview of the state-of-the-art of Neural Information Retrieval.","","9781680835335","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8620671.pdf&bkn=8620670&pdfType=book","","","","","","","","24 Jan 2019","","","now","Now Foundations and Trends Books"
"Hands-On Blockchain for Python Developers: Empowering Python developers in the world of blockchain and smart contracts","A. S. Kok",NA,Hands-On Blockchain for Python Developers: Empowering Python developers in the world of blockchain and smart contracts,"","2024","","","","","Write popular DeFi and NFT smart contracts with Vyper, a Pythonic programming language, and integrate blockchain with real-world applications using Python Key FeaturesUse the world's easiest programming language to build web3 applicationsWrite common smart contracts like decentralized exchanges, NFT marketplaces, and lending applicationsUnlock deeper levels of insights with technologies relating to blockchain, such as IPFS and Layer 2Purchase of the print or Kindle book includes a free PDF eBookBook DescriptionWe are living in the age of decentralized fi nance and NFTs. People swap tokens on Uniswap, borrow assets from Aave, send payments with stablecoins, trade art NFTs on OpenSea, and more. To build applications of this kind, you need to know how to write smart contracts. This comprehensive guide will help you explore all the features of Vyper, a programming language designed to write smart contracts. You’ll also explore the web3.py library. As you progress, you’ll learn how to connect to smart contracts, read values, and create transactions. To make sure your foundational knowledge is strong enough, the book guides you through Ape Framework, which can help you create decentralized exchanges, NFT marketplaces, voting applications, and more. Each project provides invaluable insights and hands-on experience, equipping you with the skills you need to build real-world blockchain solutions. By the end of this book, you’ll be well versed with writing common Web3 applications such as a decentralized exchange, an NFT marketplace, a voting application, and more.What you will learnUnderstand blockchain and smart contractsLearn how to write smart contracts with VyperExplore how to use the web3.py library and Ape FrameworkDiscover related technologies such as Layer 2 and IPFSGain a step-by-step guide to writing an automated market maker (AMM) decentralized exchange (DEX) smart contractBuild innovative, interactive, and token-gated Web3 NFT applicationsWho this book is forThis blockchain book is for developers interested in understanding blockchain and smart contracts. It is suitable for both technology enthusiasts looking to explore blockchain technology and programmers who aspire to become smart contract engineers. Basic knowledge of GNU/Linux and Python programming is mandatory to get started with this book. ","","9781805121688","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769377.pdf&bkn=10769376&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
"Realistic Asset Creation with Adobe Substance 3D: Create materials, textures, filters, and 3D models using Substance 3D Painter, Designer, and Stager","Z. J. Shah",NA,"Realistic Asset Creation with Adobe Substance 3D: Create materials, textures, filters, and 3D models using Substance 3D Painter, Designer, and Stager","","2022","","","","","Gain extensive, practical knowledge of 3D design with Adobe Substance 3D and learn to build a comprehensive portfolio of work with this interactive bookKey FeaturesFind out how to use Adobe Substance 3D swiftly and with little prior knowledgeUse a variety of interactive projects to get familiar with the fundamentalsCreate better career prospects for yourself by mastering 3D design with a single comprehensive guideBook DescriptionAdobe Substance 3D is a comprehensive suite complete with everything an artist needs to create stunning 3D digital materials. Getting a grip on the ecosystem of apps can be challenging for beginners, which is where Realistic Asset Creation with Adobe Substance 3D comes in! This practical guide doesn't bombard you with reams of textual information. Instead, you get an interactive, project-based book that’ll help you gain sound knowledge of Adobe Substance 3D and set you on the right path toward a career in 3D design. You’ll start off with the rudiments of Adobe Substance 3D Painter, which will enable you to acquire the skills needed to work with layers, masks, shelves, textures, and more. Next, you’ll move on to Adobe Substance 3D Designer and become well-acquainted with this node-based design tool as you progress through the chapters. The final section is devoted to Adobe Substance 3D Stager, which teaches you to build complex 3D scenes and visualize your edits in real time. By the end of this Adobe book, you’ll have gained a solid understanding of Adobe Substance 3D and developed the skills to build a comprehensive portfolio of work, setting you up for a lucrative career in 3D design.What you will learnDiscover Substance 3D Painter, Designer, and Stager through easy projectsAssemble 3D scenes and set up assets, materials, lights, and camerasExplore the innovative 3D assets library and learn how to digitize your 3D assetsTexture your 3D assets with advanced brushes and Smart MaterialsUse and blend a variety of nodes in Adobe Substance 3D DesignerCreate and export materials using Adobe Substance 3D SamplerWho this book is forThis book is for game designers, 3D generalists, and design students. If you're looking to get started in your 3D career or planning to join 3D generation, then you'll find this book useful. The book assumes very little to no 3D design knowledge. A bit of understanding of the history, functionality, and purpose of the Adobe Substance 3D package is presumed but is not mandatory; however, you must know how to work with Adobe Photoshop.","","9781803240206","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163684.pdf&bkn=10163683&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"A Unifying Tutorial on Approximate Message Passing","O. Y. Feng; R. Venkataramanan; C. Rush; R. J. Samworth",NA; NA; NA; NA,A Unifying Tutorial on Approximate Message Passing,"","2022","","","","","Over the last decade, Approximate Message Passing (AMP) algorithms have become extremely popular in various structured high-dimensional statistical problems. Many of the original ideas of AMP were developed in the physics and engineering literature and have recently been extended for use in computer science and machine learning. In this tutorial the authors give a comprehensive and rigorous introduction to what AMP can offer, as well as to unifying and formalizing the core concepts within the large body of recent work in the area. They lead the reader through the basic concepts of AMP before introducing the concept of low-rank matrix estimation. The authors conclude by covering generalized models. To complete the picture for researchers, proofs, technical remarks and mathematical background are also provided. This tutorial is an in depth introduction to Approximate Message Passing for students and researchers new to the topic.","","9781638280057","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9785929.pdf&bkn=9785928&pdfType=book","","","","","","","","1 Jun 2022","","","now","Now Foundations and Trends Books"
"So You Want to Design Aircraft: Manufacturing with Composites","J. Broge",NA,So You Want to Design Aircraft: Manufacturing with Composites,"","2018","","","i","xiv","","","9780768091731","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8860686.pdf&bkn=8854886&pdfType=chapter","","","","","","","","7 Oct 2019","","","SAE","SAE eBook Chapters"
"Behavioral Retail Operations: Tactics to Win Customers","N. Bandi; M. C. Cohen; S. Ray",NA; NA; NA,Behavioral Retail Operations: Tactics to Win Customers,"","2024","","","","","In today’s fast-paced retail world, consumers face an overwhelming array of product choices, and retailers are constantly seeking new ways to steer their purchasing decisions. Behavioral Retail Operations: Tactics to Win Customers delves into the intricate relationship between consumer psychology and strategic retail tactics. Drawing on decades of research, the authors explore how factors such as pricing, promotions, and store layout influence shopper behavior in both physical and online settings. From understanding the subtle psychological effects of price framing to uncovering how sensory elements like music and color shape the shopping experience, this monograph provides a comprehensive look at the tools retailers use to maximize profitability. Offering a deep dive into the art of influencing consumer behavior, this monograph is essential for both researchers and practitioners aiming to bridge the gap between theory and real-world retail strategy.","","9781638284376","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10750531.pdf&bkn=10750530&pdfType=book","Supply Chain Management","","","","","","","12 Nov 2024","","","now","Now Foundations and Trends Books"
